gene,score,logfoldchange,pvals_adj,cluster_detection_pct,rest_detection_pct,cluster_median,rest_median,rest_detection_high,identity_candidate
KIAA0101,4.9060435,9.476293,0.0025489333880382107,90.0,0.29739776951672864,1.676039218902588,0.0,False,True
STMN1,4.809118,6.4161434,0.002970020034623482,90.0,6.951672862453531,2.706357955932617,0.0,False,True
FABP5,4.6989837,5.5724554,0.0038860436897327337,90.0,3.382899628252788,1.3162598609924316,0.0,False,True
H2AFV,4.6825247,3.5277846,0.0038860436897327337,100.0,25.055762081784387,1.9648504257202148,0.0,False,True
TUBB,4.562637,3.9280186,0.005773036423413346,100.0,31.2639405204461,2.7333767414093018,0.0,False,True
PCNA,4.542927,5.137209,0.005852562079370702,90.0,5.687732342007435,1.3703891038894653,0.0,False,True
SNRPB,4.4756675,3.0167751,0.007164725165498949,100.0,34.163568773234196,2.177875280380249,0.0,False,True
HMGB2,4.440717,4.246175,0.007164725165498949,90.0,31.82156133828996,3.052624225616455,0.0,False,True
CCT5,4.4256806,3.500187,0.007164725165498949,100.0,18.21561338289963,1.61924147605896,0.0,False,True
SRSF3,4.4187717,2.6903195,0.007164725165498949,100.0,47.100371747211895,2.5129554271698,0.0,False,True
ATP5B,4.400484,2.8123603,0.007406227421358837,100.0,40.14869888475837,2.204359769821167,0.0,False,True
TYMS,4.3614697,9.496227,0.008389032860223517,80.0,0.29739776951672864,1.9030015468597412,0.0,False,True
ZWINT,4.3427753,8.027962,0.008389032860223517,80.0,0.40892193308550184,1.0833128690719604,0.0,False,True
PARK7,4.331396,2.5623624,0.008466499205091627,100.0,48.36431226765799,2.346134662628174,0.0,False,True
MMADHC,4.2838473,3.0571153,0.008996816086412781,100.0,12.899628252788103,1.066032886505127,0.0,False,True
CDK4,4.2474747,3.6851301,0.009862473318644727,90.0,7.026022304832713,1.0293432474136353,0.0,False,True
PKM,4.2375183,2.9705005,0.009862473318644727,100.0,41.89591078066914,2.1769933700561523,0.0,False,True
CYCS,4.233454,2.9975488,0.009862473318644727,100.0,31.301115241635685,1.8427884578704834,0.0,False,True
PTTG1,4.1830606,5.533414,0.011952399116453216,80.0,3.197026022304833,1.2991156578063965,0.0,False,True
PSMB2,4.167821,3.5307045,0.012404137276817153,90.0,21.30111524163569,1.824698805809021,0.0,False,True
DDX39A,4.1340895,3.706275,0.01291815144130266,90.0,12.676579925650557,1.569460391998291,0.0,False,True
LDHA,4.1318545,2.776234,0.01291815144130266,90.0,48.921933085501855,2.596660614013672,0.0,False,True
H2AFZ,4.127181,3.2394865,0.01291815144130266,90.0,41.07806691449814,2.647322416305542,0.0,False,True
TUBA1B,4.1227107,3.9460845,0.01291815144130266,90.0,42.63940520446097,3.5904414653778076,0.0,False,True
C12orf75,4.1135664,3.716286,0.01291815144130266,90.0,13.605947955390334,1.8427884578704834,0.0,False,True
CYC1,4.1082835,3.163757,0.01291815144130266,100.0,19.033457249070633,1.426361083984375,0.0,False,True
SUB1,4.0940595,2.9468613,0.01291815144130266,100.0,29.851301115241636,2.2376418113708496,0.0,False,True
HMGN2,4.071911,3.3700843,0.013596265282004928,90.0,9.33085501858736,1.0547884702682495,0.0,False,True
DUT,4.0536227,3.0939012,0.013596265282004928,90.0,25.910780669144984,2.0470547676086426,0.0,False,True
CKS2,4.0530133,4.4226055,0.013596265282004928,80.0,3.5687732342007434,0.9470760822296143,0.0,False,True
SNRNP25,4.03757,4.6757994,0.014243502095506459,80.0,5.687732342007435,1.5666077136993408,0.0,False,True
