gene,score,logfoldchange,pvals_adj,cluster_detection_pct,rest_detection_pct,cluster_median,rest_median,passes_owner_screen
KIAA0101,4.9060435,9.476293,0.0025489333880382107,90.0,0.29739776951672864,1.676039218902588,0.0,True
SLC25A5,4.81054,2.9814017,0.002970020034623482,100.0,50.22304832713754,2.600341796875,1.0232386589050293,True
STMN1,4.809118,6.4161434,0.002970020034623482,90.0,6.951672862453531,2.706357955932617,0.0,True
FABP5,4.6989837,5.5724554,0.0038860436897327337,90.0,3.382899628252788,1.3162598609924316,0.0,True
H2AFV,4.6825247,3.5277846,0.0038860436897327337,100.0,25.055762081784387,1.9648504257202148,0.0,True
TUBB,4.562637,3.9280186,0.005773036423413346,100.0,31.2639405204461,2.7333767414093018,0.0,True
PCNA,4.542927,5.137209,0.005852562079370702,90.0,5.687732342007435,1.3703891038894653,0.0,True
SNRPB,4.4756675,3.0167751,0.007164725165498949,100.0,34.163568773234196,2.177875280380249,0.0,True
HMGB2,4.440717,4.246175,0.007164725165498949,90.0,31.82156133828996,3.052624225616455,0.0,True
CCT5,4.4256806,3.500187,0.007164725165498949,100.0,18.21561338289963,1.61924147605896,0.0,True
HMGB1,4.422023,2.747215,0.007164725165498949,100.0,62.973977695167285,3.2106311321258545,1.633547306060791,True
SRSF3,4.4187717,2.6903195,0.007164725165498949,100.0,47.100371747211895,2.5129554271698,0.0,True
ATP5B,4.400484,2.8123603,0.007406227421358837,100.0,40.14869888475837,2.204359769821167,0.0,True
TYMS,4.3614697,9.496227,0.008389032860223517,80.0,0.29739776951672864,1.9030015468597412,0.0,True
HNRNPA2B1,4.3521223,2.4931364,0.008389032860223517,100.0,63.048327137546465,2.8707423210144043,1.6435731649398804,True
ZWINT,4.3427753,8.027962,0.008389032860223517,80.0,0.40892193308550184,1.0833128690719604,0.0,True
PARK7,4.331396,2.5623624,0.008466499205091627,100.0,48.36431226765799,2.346134662628174,0.0,True
CHCHD2,4.2887244,2.1034946,0.008996816086412781,100.0,70.59479553903346,2.7698378562927246,1.7963576316833496,True
MMADHC,4.2838473,3.0571153,0.008996816086412781,100.0,12.899628252788103,1.066032886505127,0.0,True
CDK4,4.2474747,3.6851301,0.009862473318644727,90.0,7.026022304832713,1.0293432474136353,0.0,True
PKM,4.2375183,2.9705005,0.009862473318644727,100.0,41.89591078066914,2.1769933700561523,0.0,True
CYCS,4.233454,2.9975488,0.009862473318644727,100.0,31.301115241635685,1.8427884578704834,0.0,True
PTTG1,4.1830606,5.533414,0.011952399116453216,80.0,3.197026022304833,1.2991156578063965,0.0,True
PSMB2,4.167821,3.5307045,0.012404137276817153,90.0,21.30111524163569,1.824698805809021,0.0,True
DDX39A,4.1340895,3.706275,0.01291815144130266,90.0,12.676579925650557,1.569460391998291,0.0,True
LDHA,4.1318545,2.776234,0.01291815144130266,90.0,48.921933085501855,2.596660614013672,0.0,True
H2AFZ,4.127181,3.2394865,0.01291815144130266,90.0,41.07806691449814,2.647322416305542,0.0,True
TUBA1B,4.1227107,3.9460845,0.01291815144130266,90.0,42.63940520446097,3.5904414653778076,0.0,True
C12orf75,4.1135664,3.716286,0.01291815144130266,90.0,13.605947955390334,1.8427884578704834,0.0,True
CYC1,4.1082835,3.163757,0.01291815144130266,100.0,19.033457249070633,1.426361083984375,0.0,True
SLC25A3,4.0973105,2.4419549,0.01291815144130266,100.0,51.85873605947955,2.518645763397217,1.2734129428863525,True
SUB1,4.0940595,2.9468613,0.01291815144130266,100.0,29.851301115241636,2.2376418113708496,0.0,True
HMGN2,4.071911,3.3700843,0.013596265282004928,90.0,9.33085501858736,1.0547884702682495,0.0,True
PPP1CA,4.0587025,2.6117306,0.013596265282004928,100.0,51.37546468401487,2.422149896621704,1.2202602624893188,True
CLIC1,4.0584993,2.1583283,0.013596265282004928,100.0,63.97769516728624,2.6910500526428223,1.714843988418579,True
DUT,4.0536227,3.0939012,0.013596265282004928,90.0,25.910780669144984,2.0470547676086426,0.0,True
CKS2,4.0530133,4.4226055,0.013596265282004928,80.0,3.5687732342007434,0.9470760822296143,0.0,True
SNRNP25,4.03757,4.6757994,0.014243502095506459,80.0,5.687732342007435,1.5666077136993408,0.0,True
COX8A,4.0196886,2.6880248,0.015078971298338111,100.0,38.215613382899626,2.1048836708068848,0.0,True
TPI1,4.009935,2.6565158,0.015306956372272073,100.0,50.260223048327134,2.6591134071350098,1.0372669696807861,True
CARHSP1,4.000791,3.4393754,0.015306956372272073,90.0,11.858736059479554,1.2317030429840088,0.0,True
OTUB1,3.961167,2.7775962,0.01733643241250482,100.0,15.87360594795539,1.0630662441253662,0.0,True
SNRPA,3.9569,3.4149854,0.017354779577074538,90.0,10.594795539033457,1.2760186195373535,0.0,True
HNRNPR,3.9306872,2.9583793,0.01864211302010239,100.0,20.44609665427509,1.4559016227722168,0.0,True
PDIA6,3.9280455,3.0766866,0.01864211302010239,90.0,23.605947955390334,1.8585526943206787,0.0,True
TXN,3.920324,3.1670923,0.018948891848612478,90.0,19.739776951672862,1.7984126806259155,0.0,True
HNRNPA3,3.9046776,2.9008472,0.01967100059244172,100.0,31.07806691449814,1.9042456150054932,0.0,True
ISOC2,3.9038649,4.0898156,0.01967100059244172,80.0,6.059479553903346,1.139165997505188,0.0,True
CKS1B,3.8945177,4.048698,0.020139995166175755,80.0,6.654275092936802,1.1572707891464233,0.0,True
HDGF,3.883545,3.6891477,0.020460593581748933,80.0,5.204460966542751,0.8312437534332275,0.0,True
