cluster,provisional_identity,marker_basis
0,not established; rank top markers in separate cluster analysis,T_cell:3; B_cell:4; myeloid:4; NK/cytotoxic:4; platelet:3
1,not established; rank top markers in separate cluster analysis,T_cell:3; B_cell:4; myeloid:4; NK/cytotoxic:4; platelet:3
2,not established; rank top markers in separate cluster analysis,T_cell:3; B_cell:4; myeloid:4; NK/cytotoxic:4; platelet:3
3,not established; rank top markers in separate cluster analysis,T_cell:3; B_cell:4; myeloid:4; NK/cytotoxic:4; platelet:3
4,not established; rank top markers in separate cluster analysis,T_cell:3; B_cell:4; myeloid:4; NK/cytotoxic:4; platelet:3
5,not established; rank top markers in separate cluster analysis,T_cell:3; B_cell:4; myeloid:4; NK/cytotoxic:4; platelet:3
6,not established; rank top markers in separate cluster analysis,T_cell:3; B_cell:4; myeloid:4; NK/cytotoxic:4; platelet:3
