gene,cluster_0_detection_pct,cluster_1_detection_pct,cluster_2_detection_pct,cluster_3_detection_pct,cluster_4_detection_pct,cluster_5_detection_pct,cluster_6_detection_pct,cluster_7_detection_pct,qc_matched_detection_pct
BIRC5,0.0,0.0,0.22471910112359553,0.0,0.0,0.0,0.0,70.0,0.5
MCM2,0.5012531328320802,0.2044989775051125,1.348314606741573,0.2881844380403458,0.6134969325153374,0.0,7.6923076923076925,40.0,1.0
MCM3,6.015037593984962,3.2719836400818,5.168539325842696,4.322766570605188,5.521472392638037,2.7777777777777777,0.0,70.0,10.0
MCM4,0.6683375104427736,0.0,0.8988764044943821,0.2881844380403458,1.8404907975460123,0.0,7.6923076923076925,40.0,0.0
MCM5,3.007518796992481,4.294478527607362,3.8202247191011236,8.069164265129682,7.361963190184049,16.666666666666664,0.0,60.0,17.5
MCM6,1.0025062656641603,0.408997955010225,2.0224719101123596,0.2881844380403458,0.0,8.333333333333332,0.0,40.0,7.5
MCM7,3.7593984962406015,1.0224948875255624,2.9213483146067416,1.729106628242075,4.294478527607362,2.7777777777777777,7.6923076923076925,70.0,2.5
MKI67,0.0835421888053467,0.2044989775051125,0.22471910112359553,0.0,0.0,2.7777777777777777,0.0,70.0,0.5
PCNA,6.516290726817042,2.2494887525562373,7.415730337078652,3.7463976945244957,7.975460122699387,11.11111111111111,7.6923076923076925,90.0,14.499999999999998
RRM1,4.010025062656641,0.408997955010225,4.044943820224719,1.440922190201729,3.6809815950920246,2.7777777777777777,0.0,70.0,14.000000000000002
RRM2,0.0835421888053467,0.0,0.44943820224719105,0.2881844380403458,0.6134969325153374,0.0,0.0,70.0,0.5
STMN1,7.351712614870509,1.4314928425357873,12.584269662921349,7.204610951008646,3.067484662576687,13.88888888888889,7.6923076923076925,90.0,21.5
TK1,0.0835421888053467,0.408997955010225,1.5730337078651686,0.0,0.0,0.0,0.0,70.0,4.0
TOP2A,0.1670843776106934,0.2044989775051125,0.0,0.0,0.0,0.0,0.0,50.0,0.5
TYMS,0.1670843776106934,0.0,0.6741573033707865,0.2881844380403458,0.6134969325153374,2.7777777777777777,0.0,80.0,0.5
UBE2C,0.1670843776106934,0.0,0.22471910112359553,0.0,0.0,0.0,7.6923076923076925,40.0,0.5
